model,feature,baseline_rmse,occluded_rmse,rmse_increase
lstm,sensor_15,15.411626815795898,55.25687026977539,39.84524345397949
lstm,sensor_1,15.411626815795898,52.1829719543457,36.771345138549805
lstm,sensor_11,15.411626815795898,49.387054443359375,33.97542762756348
lstm,sensor_4,15.411626815795898,42.14733123779297,26.73570442199707
lstm,sensor_8,15.411626815795898,35.88496017456055,20.47333335876465
lstm,sensor_2,15.411626815795898,33.34340286254883,17.93177604675293
lstm,sensor_9,15.411626815795898,33.163551330566406,17.751924514770508
lstm,sensor_17,15.411626815795898,31.690860748291016,16.279233932495117
lstm,sensor_18,15.411626815795898,30.198165893554688,14.786539077758789
lstm,sensor_3,15.411626815795898,28.7783145904541,13.366687774658203
lstm,sensor_6,15.411626815795898,26.6739559173584,11.2623291015625
lstm,sensor_21,15.411626815795898,26.52167320251465,11.11004638671875
lstm,setting_2,15.411626815795898,26.159778594970703,10.748151779174805
lstm,sensor_14,15.411626815795898,26.1519832611084,10.7403564453125
lstm,setting_1,15.411626815795898,25.88080596923828,10.469179153442383
lstm,sensor_20,15.411626815795898,24.590633392333984,9.179006576538086
lstm,sensor_10,15.411626815795898,22.634675979614258,7.223049163818359
lstm,sensor_5,15.411626815795898,19.534940719604492,4.123313903808594
lstm,sensor_12,15.411626815795898,19.060047149658203,3.6484203338623047
lstm,sensor_13,15.411626815795898,18.376846313476562,2.965219497680664
lstm,sensor_7,15.411626815795898,17.93115997314453,2.519533157348633
lstm,sensor_19,15.411626815795898,17.76927947998047,2.3576526641845703
lstm,sensor_16,15.411626815795898,15.81563949584961,0.40401268005371094
lstm,setting_3,15.411626815795898,15.608207702636719,0.1965808868408203
